CHP ID,Pregnancy,PNC Visit Rate,PNC Visit Missed - #,Total U1 Assessments,Total U1 Treatments,Total U5 Assessments,Total U5 Treatments,U5 Malaria,U5 Diarrhea,U5 Pneumonia,On Time Referral f/u Treatment U5,Missed Visits,%mRDT,All Malaria Assessments,All Malaria Treatments,Act 6pack Issue,mRDT Used,Sales,Community Events,Households Registered
54b88876-0760-4d1a-b853-b0e147434486,0,0,0,1,0,11,4,2,1,1,0.714285714,2,1,2,1,2,2,0,1,102
591c8ea0-46f4-4bfe-bc19-01f21fed1623,0,0,0,0,0,8,0,0,0,0,0,0,0.666666667,4,0,0,4,0,1,89
8021fa6d-d07d-4a46-9cb3-f3b5ce0cff19,1,1,0,2,2,5,4,4,0,0,0.5,2,1,5,5,5,5,0,0,119
8637c1d2-0cce-46b4-ae61-ae4ec522f60e,1,1,0,0,0,3,3,1,0,2,0,0,1,1,1,2,1,0,0,102
87500098-8c84-4da5-b0a3-f2eb4b59694b,0,0,2,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,149
8db71146-c7a7-416f-a402-e9433f41aca3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
9f0f4ae8-5447-4689-b672-57a5c2818cc8,0,0,0,0,0,10,5,4,0,1,0,0,1,11,6,12,11,205,2,95
a2a9d9a8-6e10-4496-9775-dcb3dc28a71f,0,0,2,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,75
a5ce2f59-04df-47d3-b385-1c2befc2f357,2,0,0,2,2,15,14,6,0,8,0.9,1,1,6,6,8,6,1180,3,102
a6b0a569-631c-4a3c-bdff-e8d87137d5e0,0,1,0,0,0,4,2,1,0,1,0,0,1,3,1,2,3,200,0,101
